episode,timestep,reward
44, 1500, -0.5041
80, 3000, -0.4507
123, 4500, -0.54
164, 6000, -0.4287
210, 7500, -0.2843
256, 9000, -0.3056
302, 10500, -0.2914
347, 12000, -0.4479
392, 13500, -0.5444
440, 15000, -0.2729
492, 16500, -0.3321
540, 18000, -0.1632
593, 19500, -0.2367
646, 21000, -0.2378
698, 22500, -0.2516
751, 24000, -0.2517
809, 25500, -0.2321
865, 27000, -0.3222
920, 28500, -0.3345
976, 30000, -0.3312
1040, 31500, -0.2208
1106, 33000, -0.205
1164, 34500, -0.2252
1227, 36000, -0.2184
1289, 37500, -0.2145
1350, 39000, -0.3008
1409, 40500, -0.2355
1463, 42000, -0.3344
1523, 43500, -0.2192
1584, 45000, -0.232
1645, 46500, -0.2218
1707, 48000, -0.2154
1762, 49500, -0.3329
1821, 51000, -0.2321
1872, 52500, -0.2967
1924, 54000, -0.2598
1980, 55500, -0.2247
2035, 57000, -0.2373
2090, 58500, -0.2417
2143, 60000, -0.3371
2198, 61500, -0.2394
2255, 63000, -0.2384
2308, 64500, -0.2414
2360, 66000, -0.2593
2406, 67500, -0.2017
2455, 69000, -0.3746
2503, 70500, -0.5001
2550, 72000, -0.406
2597, 73500, -0.2694
2644, 75000, -0.2834
2694, 76500, -0.1662
2736, 78000, -0.6367
2784, 79500, -0.3697
2832, 81000, -0.3702
2873, 82500, -0.4074
2920, 84000, -0.2683
2969, 85500, -0.6912
3016, 87000, -0.2908
3064, 88500, -0.2859
3113, 90000, -0.3833
3162, 91500, -0.372
3212, 93000, -0.3901
3258, 94500, -0.2971
3305, 96000, -0.299
3354, 97500, -0.2788
3408, 99000, -0.3501
3459, 100500, -0.1632
3509, 102000, -0.2858
3558, 103500, 0.0409
3606, 105000, -0.5138
3650, 106500, -0.2941
3695, 108000, -0.3095
3736, 109500, -0.4411
3778, 111000, -0.3354
3822, 112500, -0.3188
3866, 114000, -0.3349
3905, 115500, -0.3698
3944, 117000, -0.233
3984, 118500, -0.2225
4026, 120000, -0.5834
4064, 121500, -0.7629
4104, 123000, -0.6258
4143, 124500, -0.2052
4184, 126000, -0.2035
4229, 127500, -0.421
4271, 129000, -0.3297
4312, 130500, -0.2176
4350, 132000, 0.0572
4387, 133500, -0.6455
4425, 135000, 0.0199
4462, 136500, 0.0736
4497, 138000, -0.2388
4534, 139500, -0.0813
4571, 141000, -0.2211
4608, 142500, 0.1879
4645, 144000, -0.4897
4682, 145500, 0.3497
4718, 147000, -0.3377
4756, 148500, 0.2086
4793, 150000, 0.018
4829, 151500, -0.2074
4866, 153000, -0.2243
4902, 154500, 0.3256
4937, 156000, 0.2174
4971, 157500, 0.3971
5006, 159000, 0.2041
5040, 160500, 0.9958
5074, 162000, 0.3979
5107, 163500, 0.1029
5141, 165000, -0.0603
5173, 166500, 1.1225
5206, 168000, 1.5063
5238, 169500, 0.9627
5272, 171000, 1.628
5306, 172500, 1.3317
5339, 174000, 0.2951
5367, 175500, 2.4013
5398, 177000, 2.2386
5427, 178500, 1.0731
5458, 180000, 0.2525
5488, 181500, 1.5949
5520, 183000, 1.7541
5550, 184500, 1.4634
5582, 186000, 1.7033
5612, 187500, 2.3092
5645, 189000, 0.765
5677, 190500, 2.3532
5706, 192000, 3.9816
5737, 193500, 2.7521
5766, 195000, 2.7365
5795, 196500, 3.2465
5824, 198000, 2.6708
5853, 199500, 3.4975
5882, 201000, 3.4111
5910, 202500, 2.8103
5939, 204000, 4.2618
5967, 205500, 3.8642
5995, 207000, 3.2792
6022, 208500, 3.6896
6050, 210000, 3.6545
6077, 211500, 3.8864
6104, 213000, 4.4753
6132, 214500, 4.8301
6160, 216000, 4.3222
6190, 217500, 2.2661
6218, 219000, 3.7359
6247, 220500, 3.0886
6274, 222000, 4.3187
6301, 223500, 5.2387
6328, 225000, 5.1285
6355, 226500, 5.2806
6382, 228000, 5.1336
6409, 229500, 4.1436
6437, 231000, 5.1316
6465, 232500, 4.7246
6491, 234000, 4.7825
6518, 235500, 5.0985
6545, 237000, 5.0918
6572, 238500, 5.3652
6599, 240000, 4.7079
6626, 241500, 5.1302
6655, 243000, 4.1092
6682, 244500, 3.8299
6709, 246000, 5.2369
6735, 247500, 5.0449
6763, 249000, 5.0545
6789, 250500, 5.4004
6816, 252000, 5.3655
6843, 253500, 5.2128
6871, 255000, 5.1654
6897, 256500, 5.3758
6925, 258000, 5.2706
6952, 259500, 5.4673
6979, 261000, 5.0082
7006, 262500, 5.0717
7033, 264000, 5.346
7059, 265500, 5.8094
7085, 267000, 5.2667
7111, 268500, 5.5464
7138, 270000, 5.7324
7163, 271500, 5.3826
7189, 273000, 5.5258
7215, 274500, 5.9083
7241, 276000, 5.6111
7267, 277500, 5.9657
7293, 279000, 5.7749
7318, 280500, 5.5128
7343, 282000, 5.598
7369, 283500, 4.8065
7395, 285000, 5.1763
7421, 286500, 5.4397
7447, 288000, 5.5625
7473, 289500, 5.6136
7498, 291000, 5.6997
7524, 292500, 5.5404
7549, 294000, 5.5707
7574, 295500, 5.6324
7599, 297000, 5.6565
7624, 298500, 5.5251
7650, 300000, 5.6714
7676, 301500, 5.6939
7702, 303000, 5.6702
7727, 304500, 6.1336
7751, 306000, 5.8757
7776, 307500, 5.5268
7801, 309000, 5.6507
7825, 310500, 5.9073
7851, 312000, 5.2368
7876, 313500, 5.5887
7901, 315000, 5.147
7926, 316500, 5.6433
7951, 318000, 6.1269
7976, 319500, 6.6598
8002, 321000, 5.7518
8027, 322500, 5.8213
8052, 324000, 5.6762
8078, 325500, 5.641
8104, 327000, 5.6433
8130, 328500, 5.728
8155, 330000, 5.6467
8181, 331500, 5.2902
8207, 333000, 5.175
8232, 334500, 5.5304
8258, 336000, 4.9678
8283, 337500, 5.6704
8308, 339000, 5.6658
8334, 340500, 5.7441
8359, 342000, 6.215
8383, 343500, 6.0394
8408, 345000, 6.3021
8434, 346500, 6.0002
8458, 348000, 6.5081
8483, 349500, 5.5434
8508, 351000, 6.582
8533, 352500, 5.3967
8558, 354000, 5.7554
8582, 355500, 7.2173
8606, 357000, 6.2993
8631, 358500, 6.2541
8655, 360000, 5.8996
8678, 361500, 7.2817
8700, 363000, 7.5567
8723, 364500, 8.3945
